system,reference,variable,treatment_mean,reference_mean,p_value,comparison,entry
EWM,Alley,soil_texture_clay,20.043476895,20.4118040775,0.7382766228043209,system_entry,A
EWM,Alley,soil_texture_clay,18.687530565,20.4118040775,0.1779744845773337,system_entry,B
HF,Alley,soil_texture_clay,18.316652895,20.4118040775,0.19685920400599768,system_entry,A
HF,Alley,soil_texture_clay,20.5504499575,20.4118040775,0.939426590918726,system_entry,B
LF,Alley,soil_texture_clay,19.174276515,20.4118040775,0.2625103497811002,system_entry,A
LF,Alley,soil_texture_clay,18.81767523,20.4118040775,0.09846904982778157,system_entry,B
RT,Alley,soil_texture_clay,19.142439935,20.4118040775,0.19173915229577515,system_entry,A
RT,Alley,soil_texture_clay,19.35599375,20.4118040775,0.39751009376856605,system_entry,B
NA,Alley,soil_texture_sand,39.64226153125,39.6940641225,0.9491018529514244,entry,A
NA,Alley,soil_texture_sand,38.640782401875,39.6940641225,0.20491111432383785,entry,B
NA,Alley,soil_texture_sand,43.09080936,39.6940641225,0.1449247265242144,entry,Corn
Corn,Alley,soil_texture_sand,43.09080936,39.6940641225,0.1449247265242144,system,NA
EWM,Alley,soil_texture_sand,38.99364022875,39.6940641225,0.34947511960994576,system,NA
HF,Alley,soil_texture_sand,39.135656925,39.6940641225,0.6967835648238434,system,NA
LF,Alley,soil_texture_sand,39.1160705225,39.6940641225,0.6053641906862526,system,NA
RT,Alley,soil_texture_sand,39.32072019,39.6940641225,0.67932021586537,system,NA
Corn,Alley,soil_texture_sand,43.09080936,39.6940641225,0.1449247265242144,system_entry,Corn
EWM,Alley,soil_texture_sand,38.757877165000004,39.6940641225,0.43946994557076785,system_entry,A
EWM,Alley,soil_texture_sand,39.229403292499995,39.6940641225,0.4930670711898104,system_entry,B
HF,Alley,soil_texture_sand,40.6975630225,39.6940641225,0.4766070556119283,system_entry,A
HF,Alley,soil_texture_sand,37.5737508275,39.6940641225,0.408315685843901,system_entry,B
LF,Alley,soil_texture_sand,39.175061665,39.6940641225,0.7840581256728791,system_entry,A
LF,Alley,soil_texture_sand,39.057079380000005,39.6940641225,0.6516053377145987,system_entry,B
RT,Alley,soil_texture_sand,39.938544272499996,39.6940641225,0.8702549088443065,system_entry,A
RT,Alley,soil_texture_sand,38.7028961075,39.6940641225,0.28346477687103566,system_entry,B
NA,Alley,soil_texture_silt,41.188526909375,39.8941318,0.11790703705968324,entry,A
NA,Alley,soil_texture_silt,42.006305223125,39.8941318,0.018832711772323506,entry,B
NA,Alley,soil_texture_silt,38.6944623,39.8941318,0.2879140514507507,entry,Corn
Corn,Alley,soil_texture_silt,38.6944623,39.8941318,0.2879140514507507,system,NA
EWM,Alley,soil_texture_silt,41.6408560425,39.8941318,0.040575563064706416,system,NA
HF,Alley,soil_texture_silt,41.4307916525,39.8941318,0.12125607011631345,system,NA
LF,Alley,soil_texture_silt,41.887953605,39.8941318,0.06166482255949408,system,NA
RT,Alley,soil_texture_silt,41.430062965,39.8941318,0.18930989750560762,system,NA
Corn,Alley,soil_texture_silt,38.6944623,39.8941318,0.2879140514507507,system_entry,Corn
EWM,Alley,soil_texture_silt,41.19864594,39.8941318,0.10592532471497262,system_entry,A
EWM,Alley,soil_texture_silt,42.083066145000004,39.8941318,0.050570027768821704,system_entry,B
HF,Alley,soil_texture_silt,40.985784089999996,39.8941318,0.41481741437984526,system_entry,A
HF,Alley,soil_texture_silt,41.875799215,39.8941318,0.16380051297165318,system_entry,B
LF,Alley,soil_texture_silt,41.650661819999996,39.8941318,0.2686112330028029,system_entry,A
LF,Alley,soil_texture_silt,42.12524539,39.8941318,0.13124575115092693,system_entry,B
